#id	Meaning	bara1273	cuma1241	nort2686	oldu1238	sout2694	nort2697	bash1264	chuv1255	crim1257	dolg1241	gaga1249	kara1467	kara1465	kara1464	kaza1248	khak1248	khal1270	kirg1245	kumy1244	tuta1234	noga1249	sala1264	west2402	shor1247	kaza1250	tofa1248	nucl1301	turk1304	tuvi1240	uigh1240	uzbe1247	yaku1245	halh1238	buri1258	kalm1244	kalm1243	kham1281	daur1238	east2337	baoa1237	dong1285	minh1238	huzh1238	kang1281	mogh1245	midd1351	nana1257	oroc1248	udih1248	cent2414	kuro1242	biki1239	orok1265	ulch1241	jurc1239	manc1252	xibe1242	even1260	solo1263	even1259	hiss1234	sout3321	ilim1234	ilim1234.2	negi1245	oroq1238	hwan1238	hamg1238	hamg1239	jeju1234	chol1278	kyon1247	chun1247	seou1239	midd1372	nucl1643	oldj1239	nort2935	nort2935.2	sout2954	cent2126	shur1243	ikem1234	yaey1239	hato1238	yona1241	sats1241	kuma1281	haka1241	hach1239
	blood (n.)																																																										huŋel																																
	blood (n.)																																	cus	šuhan	cusn	cusan	čihun	čos	ʧusun	ʨisɵŋ	tʂusun	tʂudzi	tɕisə	tʃisun	čusun	čisun																														ti	ti	ci	cɨɨ	cii	cii	cii	ahacï	cïï	sii	ccíi	tɕiː	tɕiː	tɕi	tɕi
	blood (n.)	ḳan	kan	ḳan	ḳan	ḳan	ġan	ḳan	yun	ḳan	kaan	kan	ḳan	ḳan	kan	ḳan	χan	ḳa:n	ḳan	ḳan	ḳan	ḳan	ḳan	ḳan	ḳan	ḳan	ḳan	kan	ġa:n	χan	ḳan	ḳɔn	χa:n																																																										
	bone (n.)																																																																			ppey	ppey	ppey	kkwang	ppitakwu	ppeyktakwu	ppey	ppey	spye	hone	pone	hunï	huunɨ	puni	puni	huni	puni	puni	puni	hûni	hone	hone	hone	hone
	bone (n.)																																															giamsə	giamsa	gäma	germaksa	gịramna	gịrmasa	girapsa	geramsa	giraŋgi	giraŋgi	giraŋ		girand	giramda	geramda	giramda	giramda	giramna		geramna																								
	bone (n.)																																																										ikeri							iːhəj																									
	bone (n.)																																	yas	yahan	yasn	yasan	yahun	yas	yasən	yasɵŋ	iasun	yagsi	yaasi	yasun	yo:sun	yasun																																												
	bone (n.)	süök	souat	söök	süŋük	söök	sümük	höyäk	šəʷməʷ		oŋuok		süyek	süyek	sivek	süyek	söök		söök	süyek	söök	süjek	seniχ	sïmïḳ	sö:k	söyäk	söök		süŋk	söök	söŋäk	suyak	uŋuoχ																																																										
	bone (n.)									kemik		kemik																kemik																																																															
	2SG pronoun																																																																																								nuɕi		
	2SG pronoun																																																																												anata										ndá			anta	
	2SG pronoun																																																																														ɂja	ɂjaa	ura	ɂjaa	ɂjaa	ja	waa	waa		wa	jado		una
	2SG pronoun																																																																			ni	ni	ni	ni	ni	ni	ni	ni																
	2SG pronoun																																																																											ne		na													
	2SG pronoun																																	či	ši	či	či	či	sí	ʧə	ʨi	tʂɯ	ʨi	qi	tʃi	či	či																																												
	2SG pronoun																																			ta					ta			ta																																															
	2SG pronoun	sin						hin									sin					siz				sin						siz																či	si	si	sisin	si	si	siː	si	ši	si	si	hiː	ši	siː	si	hiː	hiː	si	siː	šiː																								
	2SG pronoun		sen	sen	sen	sen	sän		ezɘ	sen	en	sän	sen	sen	sen	sen		sän	sen	sen	sän		sen	sen	sen		sen	sen	sen	sen	sän		en																																																										
	root (n.)																																																																												ne	ne	nï	nɨgui	nii	nii	nii	nii	nii	nii	nìi	ne	ne	ne	nekko
	root (n.)																																															da		daː	daːčan		daːca	daːta	daːča	da	da						dagasan			daː																									
